,step,energy,x0,x1,x2,x3,x4,x5,p0,p1,p2,p3,p4,p5,p6,p7,p8
0,0,-0.9899262280664528,0.0,0.0,-1.1825125623594572,0.0,0.0,1.1825125623594264,2.143692553133717,1.99,0.05,1.85,3.06,0.82,0.6199378895629235,0.71,1.86
1,1,-1.035365402085077,0.0,0.0,-1.0482046134135035,0.0,0.0,1.0482046134134613,2.1153145003119422,1.99,0.05,1.85,3.06,0.82,0.6236728436873342,0.71,1.86
2,2,-1.0751084094605938,0.0,0.0,-0.9185261294937415,0.0,0.0,0.9185261294937481,2.110994695066829,1.99,0.05,1.85,3.06,0.82,0.6261230951823741,0.71,1.86
3,3,-1.10316579159347,0.0,0.0,-0.8052896823159996,0.0,0.0,0.8052896823160425,2.103580069367718,1.99,0.05,1.85,3.06,0.82,0.6280781096259408,0.71,1.86
4,4,-1.1157403711481335,0.0,0.0,-0.7241273611387229,0.0,0.0,0.7241273611388945,2.1003773710429536,1.99,0.05,1.85,3.06,0.82,0.6296271514014888,0.71,1.86
5,5,-1.118216096928105,0.0,0.0,-0.6848107973866774,0.0,0.0,0.6848107973869249,2.0974711927717125,1.99,0.05,1.85,3.06,0.82,0.6309386276047099,0.71,1.86
6,6,-1.1183531306892158,0.0,0.0,-0.6751092626610546,0.0,0.0,0.6751092626611772,2.0978751653506436,1.99,0.05,1.85,3.06,0.82,0.6321798435892374,0.71,1.86
7,7,-1.1183586853183445,0.0,0.0,-0.6738437804665003,0.0,0.0,0.6738437804667584,2.0966825688154156,1.99,0.05,1.85,3.06,0.82,0.633382532909638,0.71,1.86
8,8,-1.1183619288868374,0.0,0.0,-0.6738251680241165,0.0,0.0,0.6738251680243702,2.0980012149754805,1.99,0.05,1.85,3.06,0.82,0.6346139249862108,0.71,1.86
9,9,-1.1183650072934832,0.0,0.0,-0.6737138588724142,0.0,0.0,0.6737138588728702,2.0963787680892176,1.99,0.05,1.85,3.06,0.82,0.6358148089395487,0.71,1.86
10,10,-1.1183678138824318,0.0,0.0,-0.6738437512565845,0.0,0.0,0.6738437512571293,2.098295313892219,1.99,0.05,1.85,3.06,0.82,0.6370596032952989,0.71,1.86
11,11,-1.118370258150962,0.0,0.0,-0.6736956343356738,0.0,0.0,0.6736956343362123,2.0959668065621626,1.99,0.05,1.85,3.06,0.82,0.6382589041812695,0.71,1.86
12,12,-1.118372138688876,0.0,0.0,-0.6738828652154049,0.0,0.0,0.6738828652159681,2.0987250898887684,1.99,0.05,1.85,3.06,0.82,0.6395206418438772,0.71,1.86
13,13,-1.118373281362713,0.0,0.0,-0.673669181178897,0.0,0.0,0.6736691811793513,2.0953951772956545,1.99,0.05,1.85,3.06,0.82,0.6407151692602943,0.71,1.86
14,14,-1.1183732691212014,0.0,0.0,-0.6739369149733956,0.0,0.0,0.673936914973952,2.099343793891739,1.99,0.05,1.85,3.06,0.82,0.6419986692640397,0.71,1.86
15,15,-1.1183718001894192,0.0,0.0,-0.6736308365513753,0.0,0.0,0.6736308365519937,2.0946017247056847,1.99,0.05,1.85,3.06,0.82,0.643184088104979,0.71,1.86
16,16,-1.1183679936336168,0.0,0.0,-0.6740128810374241,0.0,0.0,0.6740128810380692,2.1002253311119774,1.99,0.05,1.85,3.06,0.82,0.6444963783283677,0.71,1.86
17,17,-1.1183613864354955,0.0,0.0,-0.6735776682987357,0.0,0.0,0.6735776682992028,2.093502012122187,1.99,0.05,1.85,3.06,0.82,0.6456670045818961,0.71,1.86
18,18,-1.118350075250808,0.0,0.0,-0.6741215983453419,0.0,0.0,0.6741215983458778,2.10147063385369,1.99,0.05,1.85,3.06,0.82,0.6470184261122104,0.71,1.86
19,19,-1.1183335295316363,0.0,0.0,-0.6735073263913113,0.0,0.0,0.6735073263917071,2.091982226969034,1.99,0.05,1.85,3.06,0.82,0.6481671220430797,0.71,1.86
20,20,-1.1183075304195118,0.0,0.0,-0.6742800342979804,0.0,0.0,0.6742800342982762,2.103216735032629,1.99,0.05,1.85,3.06,0.82,0.6495730541107237,0.71,1.86
21,21,-1.1182720865502893,0.0,0.0,-0.6734197014116725,0.0,0.0,0.6734197014119727,2.089890569024409,1.99,0.05,1.85,3.06,0.82,0.6506914683104315,0.71,1.86
22,22,-1.1182175975274549,0.0,0.0,-0.674515281399984,0.0,0.0,0.6745152814003016,2.1056483859464246,1.99,0.05,1.85,3.06,0.82,0.6521750629674061,0.71,1.86
23,23,-1.1181468984610081,0.0,0.0,-0.6733203251803843,0.0,0.0,0.6733203251806376,2.0870274027919313,1.99,0.05,1.85,3.06,0.82,0.653254675425142,0.71,1.86
24,24,-1.1180376108692915,0.0,0.0,-0.6748713172697267,0.0,0.0,0.6748713172699733,2.109012301567208,1.99,0.05,1.85,3.06,0.82,0.6548512208095378,0.71,1.86
25,25,-1.1179026716854457,0.0,0.0,-0.673226856043646,0.0,0.0,0.6732268560440391,2.0831355467576884,1.99,0.05,1.85,3.06,0.82,0.6558860882547929,0.71,1.86
26,26,-1.117688923602807,0.0,0.0,-0.6754202530486829,0.0,0.0,0.6754202530491071,2.113632995967408,1.99,0.05,1.85,3.06,0.82,0.6576499298249853,0.71,1.86
27,27,-1.1174405891841075,0.0,0.0,-0.6731806585669488,0.0,0.0,0.6731806585673752,2.077894543558132,1.99,0.05,1.85,3.06,0.82,0.6586427929100569,0.71,1.86
28,28,-1.1170299775219008,0.0,0.0,-0.6762802299923604,0.0,0.0,0.676280229992821,2.119925984954055,1.99,0.05,1.85,3.06,0.82,0.6606580265437061,0.71,1.86
29,29,-1.1165906716514105,0.0,0.0,-0.6732657388051065,0.0,0.0,0.6732657388055806,2.0709281815007285,1.99,0.05,1.85,3.06,0.82,0.661632653800301,0.71,1.86
30,30,-1.1158154628491985,0.0,0.0,-0.6776410839906906,0.0,0.0,0.6776410839913338,2.1283961479044144,1.99,0.05,1.85,3.06,0.82,0.6640286253634389,0.71,1.86
31,31,-1.1150783175526888,0.0,0.0,-0.6736351622583752,0.0,0.0,0.6736351622590471,2.061845271870154,1.99,0.05,1.85,3.06,0.82,0.6650527142421946,0.71,1.86
32,32,-1.1136475811688489,0.0,0.0,-0.6797921954892225,0.0,0.0,0.6797921954898126,2.1395914096221462,1.99,0.05,1.85,3.06,0.82,0.6680234416884125,0.71,1.86
33,33,-1.1125075823579311,0.0,0.0,-0.6745352231509424,0.0,0.0,0.6745352231515186,2.050350840705545,1.99,0.05,1.85,3.06,0.82,0.6692463969138039,0.71,1.86
34,34,-1.1099583436132814,0.0,0.0,-0.6831247509260725,0.0,0.0,0.683124750926524,2.1539505916599575,1.99,0.05,1.85,3.06,0.82,0.6730666126942054,0.71,1.86
35,35,-1.1084288340484554,0.0,0.0,-0.6762909261731499,0.0,0.0,0.6762909261736739,2.0364781852344356,1.99,0.05,1.85,3.06,0.82,0.6747691302690493,0.71,1.86
36,36,-1.1041380146234776,0.0,0.0,-0.6880317527564503,0.0,0.0,0.6880317527567303,2.1714550182938215,1.99,0.05,1.85,3.06,0.82,0.6797855721957055,0.71,1.86
37,37,-1.1026119737771725,0.0,0.0,-0.6791752234872925,0.0,0.0,0.6791752234874787,2.0209536282958065,1.99,0.05,1.85,3.06,0.82,0.6824103994896147,0.71,1.86
38,38,-1.095998164835114,0.0,0.0,-0.6945857115393347,0.0,0.0,0.6945857115394549,2.1910556483497006,1.99,0.05,1.85,3.06,0.82,0.6889708889698073,0.71,1.86
39,39,-1.0955632047063943,0.0,0.0,-0.6830993074240812,0.0,0.0,0.6830993074243059,2.0055176256790053,1.99,0.05,1.85,3.06,0.82,0.6930519696885493,0.71,1.86
40,40,-1.0865473926072955,0.0,0.0,-0.7020179944951794,0.0,0.0,0.7020179944954074,2.2101861788566417,1.99,0.05,1.85,3.06,0.82,0.7013508486436021,0.71,1.86
41,41,-1.088867357783344,0.0,0.0,-0.687288160501973,0.0,0.0,0.6872881605022091,1.9927163193968878,1.99,0.05,1.85,3.06,0.82,0.7072507756455971,0.71,1.86
42,42,-1.0782669058711551,0.0,0.0,-0.7085437158391633,0.0,0.0,0.7085437158392698,2.2251929270792075,1.99,0.05,1.85,3.06,0.82,0.7171612854695557,0.71,1.86
43,43,-1.0845491960153035,0.0,0.0,-0.6904329294416031,0.0,0.0,0.6904329294415693,1.9848107741740038,1.99,0.05,1.85,3.06,0.82,0.7247209002305215,0.71,1.86
44,44,-1.0738064838739734,0.0,0.0,-0.7122531029949296,0.0,0.0,0.7122531029948598,2.2331179560177654,1.99,0.05,1.85,3.06,0.82,0.7357742933334465,0.71,1.86
45,45,-1.0836729508879548,0.0,0.0,-0.6915043688629506,0.0,0.0,0.691504368862984,1.9825388649259348,1.99,0.05,1.85,3.06,0.82,0.7442464825410585,0.71,1.86
46,46,-1.0740640950260054,0.0,0.0,-0.7124456933529413,0.0,0.0,0.7124456933530691,2.2333857394418475,1.99,0.05,1.85,3.06,0.82,0.7558078347930851,0.71,1.86
47,47,-1.0857913004118946,0.0,0.0,-0.6904490007460896,0.0,0.0,0.6904490007463331,1.9850211988051965,1.99,0.05,1.85,3.06,0.82,0.7642260615187205,0.71,1.86
48,48,-1.077970577776062,0.0,0.0,-0.7098373532426003,0.0,0.0,0.7098373532427202,2.2275664194645524,1.99,0.05,1.85,3.06,0.82,0.7757088628097635,0.71,1.86
49,49,-1.0896942948903205,0.0,0.0,-0.6880065535843758,0.0,0.0,0.6880065535844562,1.9907087494449867,1.99,0.05,1.85,3.06,0.82,0.7833169689802899,0.71,1.86
