,step,energy,p0,p1,p2,p3,p4,p5,p6,p7,p8
0,0,-0.8954556840624337,2.49,0.63,1.43,0.38,1.51,0.93,1.93,2.56,2.01
1,1,-0.9612414993788032,2.300098760653757,0.63,1.43,0.38,1.51,0.93,1.9697680370447537,2.56,2.01
2,2,-0.9739122046415396,2.2206631882316,0.63,1.43,0.38,1.51,0.93,1.989185781364032,2.56,2.01
3,3,-0.9775651196641262,2.180509014821839,0.63,1.43,0.38,1.51,0.93,2.004881668356479,2.56,2.01
4,4,-0.9789305498187065,2.159799828894419,0.63,1.43,0.38,1.51,0.93,2.0198084379237873,2.56,2.01
5,5,-0.9796961353040271,2.149206961755295,0.63,1.43,0.38,1.51,0.93,2.0346694111196206,2.56,2.01
6,6,-0.9803128865594094,2.143782208531073,0.63,1.43,0.38,1.51,0.93,2.049619644755907,2.56,2.01
7,7,-0.980897504123532,2.1409506733324983,0.63,1.43,0.38,1.51,0.93,2.064681513710678,2.56,2.01
8,8,-0.9814793302982614,2.139409928004159,0.63,1.43,0.38,1.51,0.93,2.079850438508778,2.56,2.01
9,9,-0.9820655843695465,2.1385103837197135,0.63,1.43,0.38,1.51,0.93,2.09511880302771,2.56,2.01
10,10,-0.9826579292683773,2.1379287075811697,0.63,1.43,0.38,1.51,0.93,2.1104800716299414,2.56,2.01
11,11,-0.9832566120764452,2.1375030913766584,0.63,1.43,0.38,1.51,0.93,2.125928824044085,2.56,2.01
12,12,-0.9838615002900877,2.13715175651342,0.63,1.43,0.38,1.51,0.93,2.1414602551464075,2.56,2.01
13,13,-0.9844723436833858,2.13683281988078,0.63,1.43,0.38,1.51,0.93,2.157069786503994,2.56,2.01
14,14,-0.9850888410838123,2.1365244617488264,0.63,1.43,0.38,1.51,0.93,2.1727528302280334,2.56,2.01
15,15,-0.985710657312922,2.1362150525769845,0.63,1.43,0.38,1.51,0.93,2.1885046549250315,2.56,2.01
16,16,-0.9863374272641462,2.1358981909574064,0.63,1.43,0.38,1.51,0.93,2.2043203107139,2.56,2.01
17,17,-0.986968756699733,2.1355701835658967,0.63,1.43,0.38,1.51,0.93,2.2201945869721027,2.56,2.01
18,18,-0.9876042223003829,2.13522875129693,0.63,1.43,0.38,1.51,0.93,2.2361219882035424,2.56,2.01
19,19,-0.9882433716552431,2.1348723575978528,0.63,1.43,0.38,1.51,0.93,2.252096720229897,2.56,2.01
20,20,-0.9888857233891344,2.134499855978885,0.63,1.43,0.38,1.51,0.93,2.2681126826168265,2.56,2.01
21,21,-0.9895307674917666,2.1341103030817195,0.63,1.43,0.38,1.51,0.93,2.2841634652219764,2.56,2.01
22,22,-0.9901779658777463,2.133702858600913,0.63,1.43,0.38,1.51,0.93,2.300242347796694,2.56,2.01
23,23,-0.9908267531958418,2.133276731301737,0.63,1.43,0.38,1.51,0.93,2.316342302125692,2.56,2.01
24,24,-0.9914765379021714,2.1328311498049373,0.63,1.43,0.38,1.51,0.93,2.3324559964803533,2.56,2.01
25,25,-0.9921267036094549,2.132365346858208,0.63,1.43,0.38,1.51,0.93,2.3485758023135257,2.56,2.01
